TIMESTAMP,porcent_GH_CALC_GLOBAL
2024-03-01 00:00:00,-53.08334117139666
2024-03-01 00:01:00,-58.028411634634836
2024-03-01 00:04:00,-62.86144806313041
2024-03-01 00:05:00,-62.00805246154588
2024-03-01 00:06:00,-61.09660894395628
2024-03-01 00:07:00,-61.31911573731347
2024-03-01 00:08:00,-61.02427217409008
2024-03-01 00:09:00,-60.31891743996645
2024-03-01 00:10:00,-58.553420742456005
2024-03-01 00:11:00,-58.169104129583005
2024-03-01 00:12:00,-58.7170699213546
2024-03-01 00:13:00,-58.17728315092761
2024-03-01 00:14:00,-56.12620489405569
2024-03-01 00:15:00,-54.72566626573823
2024-03-01 00:16:00,-53.9257598117736
2024-03-01 00:17:00,-54.474050609980175
2024-03-01 00:18:00,-53.88896505847286
2024-03-01 00:19:00,-53.649777345079116
2024-03-01 00:20:00,-55.34267315440587
2024-03-01 00:21:00,-55.224417239307144
2024-03-01 00:22:00,-56.39428111767116
2024-03-01 00:23:00,-56.662534030342925
2024-03-01 00:24:00,-57.05432970101215
2024-03-01 00:25:00,-57.95170669172675
2024-03-01 00:26:00,-55.8800988741729
2024-03-01 00:27:00,-55.69757436472753
2024-03-01 00:28:00,-55.772698381522126
2024-03-01 00:29:00,-56.11388044136998
2024-03-01 00:30:00,-55.13630550321368
2024-03-01 00:31:00,-55.13933439710712
2024-03-01 00:32:00,-55.077680581340985
2024-03-01 00:33:00,-56.619766062044405
2024-03-01 00:34:00,-59.62269529205072
2024-03-01 00:35:00,-58.57213543507458
2024-03-01 00:36:00,-57.82965522430388
2024-03-01 00:37:00,-56.49384943122816
2024-03-01 00:38:00,-55.28939758671329
2024-03-01 00:39:00,-53.4183689094417
2024-03-01 00:40:00,-51.701649198472936
2024-03-01 00:41:00,-51.145749124742956
2024-03-01 00:42:00,-52.212796073493315
2024-03-01 00:43:00,-50.6150216878472
2024-03-01 00:44:00,-49.45678709109262
2024-03-01 00:45:00,-49.61558862619123
2024-03-01 00:46:00,-51.10440960852717
2024-03-01 00:47:00,-50.67338012106847
2024-03-01 00:48:00,-49.78304381057747
2024-03-01 00:49:00,-52.07607774849398
2024-03-01 00:50:00,-52.05719764192318
2024-03-01 00:51:00,-51.84143678547313
2024-03-01 00:52:00,-51.461772410034634
2024-03-01 00:53:00,-49.87817581525098
